Vivado Simulator 2020.2
Time resolution is 1 ps
[3905000] Count:          70 Maxpool_Debug = 144a
[3915000] Count:         301 Conv_Debug = 1212
[3925000] Count:         302 Conv_Debug = 14fa
[3925000] Count:          71 Maxpool_Debug = 1622
[3935000] Count:         303 Conv_Debug = 109e
[3945000] Count:         304 Conv_Debug = 0868
[3945000] Count:          72 Maxpool_Debug = 152c
[3955000] Count:         305 Conv_Debug = 0000
[3965000] Count:         306 Conv_Debug = 0000
[3965000] Count:          73 Maxpool_Debug = 14fa
[3975000] Count:         307 Conv_Debug = 0000
[3985000] Count:         308 Conv_Debug = 0000
[3985000] Count:          74 Maxpool_Debug = 109e
[3995000] Count:         309 Conv_Debug = 0000
[4005000] Count:         310 Conv_Debug = 0000
[4005000] Count:          75 Maxpool_Debug = 0000
[4015000] Count:         311 Conv_Debug = 0000
[4025000] Count:         312 Conv_Debug = 0000
[4025000] Count:          76 Maxpool_Debug = 0000
[4045000] Count:          77 Maxpool_Debug = 0000
[4055000] Count:         313 Conv_Debug = 0000
[4065000] Count:         314 Conv_Debug = 0000
[4065000] Count:          78 Maxpool_Debug = 0000
[4075000] Count:         315 Conv_Debug = 0000
[4085000] Count:         316 Conv_Debug = 0000
[4095000] Count:         317 Conv_Debug = 0000
[4105000] Count:         318 Conv_Debug = 094f
[4115000] Count:         319 Conv_Debug = 133f
[4125000] Count:         320 Conv_Debug = 0ed2
[4135000] Count:         321 Conv_Debug = 0495
[4145000] Count:         322 Conv_Debug = 0034
[4155000] Count:         323 Conv_Debug = 0000
[4165000] Count:         324 Conv_Debug = 0000
[4175000] Count:         325 Conv_Debug = 0000
[4185000] Count:         326 Conv_Debug = 0182
[4195000] Count:         327 Conv_Debug = 040a
[4205000] Count:         328 Conv_Debug = 07c0
[4215000] Count:         329 Conv_Debug = 10d4
[4225000] Count:         330 Conv_Debug = 12db
[4235000] Count:         331 Conv_Debug = 094e
[4245000] Count:         332 Conv_Debug = 0000
[4255000] Count:         333 Conv_Debug = 0000
[4265000] Count:         334 Conv_Debug = 0000
[4275000] Count:         335 Conv_Debug = 0000
[4285000] Count:         336 Conv_Debug = 0000
[4295000] Count:         337 Conv_Debug = 0000
[4305000] Count:         338 Conv_Debug = 0000
[4335000] Count:         339 Conv_Debug = 0000
[4345000] Count:         340 Conv_Debug = 0000
[4355000] Count:         341 Conv_Debug = 0000
[4365000] Count:         342 Conv_Debug = 0000
[4375000] Count:         343 Conv_Debug = 0000
[4385000] Count:         344 Conv_Debug = 002c
[4385000] Count:          79 Maxpool_Debug = 0000
[4395000] Count:         345 Conv_Debug = 0408
[4405000] Count:         346 Conv_Debug = 0000
[4405000] Count:          80 Maxpool_Debug = 0000
[4415000] Count:         347 Conv_Debug = 0000
[4425000] Count:         348 Conv_Debug = 0000
[4425000] Count:          81 Maxpool_Debug = 094f
[4435000] Count:         349 Conv_Debug = 0000
[4445000] Count:         350 Conv_Debug = 0000
[4445000] Count:          82 Maxpool_Debug = 133f
[4455000] Count:         351 Conv_Debug = 0000
[4465000] Count:         352 Conv_Debug = 0000
[4465000] Count:          83 Maxpool_Debug = 0495
[4475000] Count:         353 Conv_Debug = 0000
[4485000] Count:         354 Conv_Debug = 0000
[4485000] Count:          84 Maxpool_Debug = 0000
[4495000] Count:         355 Conv_Debug = 0616
[4505000] Count:         356 Conv_Debug = 120e
[4505000] Count:          85 Maxpool_Debug = 0182
[4515000] Count:         357 Conv_Debug = 0fb3
[4525000] Count:         358 Conv_Debug = 0158
[4525000] Count:          86 Maxpool_Debug = 07c0
[4535000] Count:         359 Conv_Debug = 0000
[4545000] Count:         360 Conv_Debug = 0000
[4545000] Count:          87 Maxpool_Debug = 12db
[4555000] Count:         361 Conv_Debug = 0000
[4565000] Count:         362 Conv_Debug = 0000
[4565000] Count:          88 Maxpool_Debug = 0fb3
[4575000] Count:         363 Conv_Debug = 0000
[4585000] Count:         364 Conv_Debug = 0000
[4585000] Count:          89 Maxpool_Debug = 0000
[4605000] Count:          90 Maxpool_Debug = 0000
[4615000] Count:         365 Conv_Debug = 0000
[4625000] Count:         366 Conv_Debug = 0000
[4625000] Count:          91 Maxpool_Debug = 0000
[4635000] Count:         367 Conv_Debug = 0000
[4645000] Count:         368 Conv_Debug = 0000
[4655000] Count:         369 Conv_Debug = 0000
[4665000] Count:         370 Conv_Debug = 0000
[4675000] Count:         371 Conv_Debug = 0000
[4685000] Count:         372 Conv_Debug = 0000
[4695000] Count:         373 Conv_Debug = 0000
[4705000] Count:         374 Conv_Debug = 0000
[4715000] Count:         375 Conv_Debug = 0000
[4725000] Count:         376 Conv_Debug = 0000
[4735000] Count:         377 Conv_Debug = 0000
[4745000] Count:         378 Conv_Debug = 0000
[4755000] Count:         379 Conv_Debug = 0000
[4765000] Count:         380 Conv_Debug = 0000
[4775000] Count:         381 Conv_Debug = 0000
[4785000] Count:         382 Conv_Debug = 0856
[4795000] Count:         383 Conv_Debug = 107f
[4805000] Count:         384 Conv_Debug = 07c8
[4815000] Count:         385 Conv_Debug = 0000
[4825000] Count:         386 Conv_Debug = 0000
[4835000] Count:         387 Conv_Debug = 0000
[4845000] Count:         388 Conv_Debug = 0000
[4855000] Count:         389 Conv_Debug = 0000
[4865000] Count:         390 Conv_Debug = 0000
[4895000] Count:         391 Conv_Debug = 0000
[4905000] Count:         392 Conv_Debug = 0000
[4915000] Count:         393 Conv_Debug = 0000
[4925000] Count:         394 Conv_Debug = 0000
[4935000] Count:         395 Conv_Debug = 0000
[4945000] Count:         396 Conv_Debug = 0000
[4945000] Count:          92 Maxpool_Debug = 0000
[4955000] Count:         397 Conv_Debug = 0000
[4965000] Count:         398 Conv_Debug = 0000
[4965000] Count:          93 Maxpool_Debug = 0000
[4975000] Count:         399 Conv_Debug = 0000
[4985000] Count:         400 Conv_Debug = 0000
[4985000] Count:          94 Maxpool_Debug = 0000
[4995000] Count:         401 Conv_Debug = 0000
[5005000] Count:         402 Conv_Debug = 0000
[5005000] Count:          95 Maxpool_Debug = 0000
[5015000] Count:         403 Conv_Debug = 0000
[5025000] Count:         404 Conv_Debug = 0000
[5025000] Count:          96 Maxpool_Debug = 0000
[5035000] Count:         405 Conv_Debug = 0000
[5045000] Count:         406 Conv_Debug = 0000
[5045000] Count:          97 Maxpool_Debug = 0000
[5055000] Count:         407 Conv_Debug = 0000
[5065000] Count:         408 Conv_Debug = 0321
[5065000] Count:          98 Maxpool_Debug = 0000
